plate_deck_loc,well,sample_id,name,volume,composition,recipe,order_mixing
10,C11,35,BNa200,175,"{'KCl': 200.0, 'KP': 100.0, 'BSA': 0.0, 'PEG': 0.0, 'NH4OH': 0.0, 'NaHCO3': 200.0, 'water': 0}","{'KCl': 8.75, 'KP': 35.0, 'BSA': 0.0, 'PEG': 0.0, 'NH4OH': 0.0, 'NaHCO3': 35.0, 'water': 96.25}","['water', 'KCl', 'KP', 'NH4OH', 'NaHCO3', 'BSA', 'PEG']"
10,C12,36,FNa200,175,"{'KCl': 200.0, 'KP': 100.0, 'BSA': 10.0, 'PEG': 0.0, 'NH4OH': 0.0, 'NaHCO3': 200.0, 'water': 0}","{'KCl': 8.75, 'KP': 35.0, 'BSA': 5.775577557755776, 'PEG': 0.0, 'NH4OH': 0.0, 'NaHCO3': 35.0, 'water': 90.47442244224422}","['water', 'KCl', 'KP', 'NH4OH', 'NaHCO3', 'BSA', 'PEG']"
10,D1,37,BNa200,175,"{'KCl': 200.0, 'KP': 100.0, 'BSA': 0.0, 'PEG': 0.0, 'NH4OH': 0.0, 'NaHCO3': 200.0, 'water': 0}","{'KCl': 8.75, 'KP': 35.0, 'BSA': 0.0, 'PEG': 0.0, 'NH4OH': 0.0, 'NaHCO3': 35.0, 'water': 96.25}","['water', 'KCl', 'KP', 'NH4OH', 'NaHCO3', 'BSA', 'PEG']"
10,D2,38,SNa200_1,175,"{'KCl': 200.0, 'KP': 100.0, 'BSA': 75.0, 'PEG': 0.0, 'NH4OH': 0.0, 'NaHCO3': 200.0, 'water': 0}","{'KCl': 8.75, 'KP': 35.0, 'BSA': 43.31683168316832, 'PEG': 0.0, 'NH4OH': 0.0, 'NaHCO3': 35.0, 'water': 52.93316831683168}","['water', 'KCl', 'KP', 'NH4OH', 'NaHCO3', 'BSA', 'PEG']"
10,D3,39,BNa200,175,"{'KCl': 200.0, 'KP': 100.0, 'BSA': 0.0, 'PEG': 0.0, 'NH4OH': 0.0, 'NaHCO3': 200.0, 'water': 0}","{'KCl': 8.75, 'KP': 35.0, 'BSA': 0.0, 'PEG': 0.0, 'NH4OH': 0.0, 'NaHCO3': 35.0, 'water': 96.25}","['water', 'KCl', 'KP', 'NH4OH', 'NaHCO3', 'BSA', 'PEG']"
10,D4,40,SNa200_2,175,"{'KCl': 200.0, 'KP': 100.0, 'BSA': 100.0, 'PEG': 0.0, 'NH4OH': 0.0, 'NaHCO3': 200.0, 'water': 0}","{'KCl': 8.75, 'KP': 35.0, 'BSA': 57.755775577557756, 'PEG': 0.0, 'NH4OH': 0.0, 'NaHCO3': 35.0, 'water': 38.494224422442244}","['water', 'KCl', 'KP', 'NH4OH', 'NaHCO3', 'BSA', 'PEG']"
10,D5,41,BNa200,175,"{'KCl': 200.0, 'KP': 100.0, 'BSA': 0.0, 'PEG': 0.0, 'NH4OH': 0.0, 'NaHCO3': 200.0, 'water': 0}","{'KCl': 8.75, 'KP': 35.0, 'BSA': 0.0, 'PEG': 0.0, 'NH4OH': 0.0, 'NaHCO3': 35.0, 'water': 96.25}","['water', 'KCl', 'KP', 'NH4OH', 'NaHCO3', 'BSA', 'PEG']"
10,D6,42,SNa200_3,175,"{'KCl': 200.0, 'KP': 100.0, 'BSA': 125.0, 'PEG': 0.0, 'NH4OH': 0.0, 'NaHCO3': 200.0, 'water': 0}","{'KCl': 8.75, 'KP': 35.0, 'BSA': 72.1947194719472, 'PEG': 0.0, 'NH4OH': 0.0, 'NaHCO3': 35.0, 'water': 24.055280528052805}","['water', 'KCl', 'KP', 'NH4OH', 'NaHCO3', 'BSA', 'PEG']"
10,D7,43,BNa200,175,"{'KCl': 200.0, 'KP': 100.0, 'BSA': 0.0, 'PEG': 0.0, 'NH4OH': 0.0, 'NaHCO3': 200.0, 'water': 0}","{'KCl': 8.75, 'KP': 35.0, 'BSA': 0.0, 'PEG': 0.0, 'NH4OH': 0.0, 'NaHCO3': 35.0, 'water': 96.25}","['water', 'KCl', 'KP', 'NH4OH', 'NaHCO3', 'BSA', 'PEG']"
10,D8,44,BNH310,175,"{'KCl': 200.0, 'KP': 100.0, 'BSA': 0.0, 'PEG': 0.0, 'NH4OH': 10.0, 'NaHCO3': 0.0, 'water': 0}","{'KCl': 8.75, 'KP': 35.0, 'BSA': 0.0, 'PEG': 0.0, 'NH4OH': 1.75, 'NaHCO3': 0.0, 'water': 129.5}","['water', 'KCl', 'KP', 'NH4OH', 'NaHCO3', 'BSA', 'PEG']"
