plate_deck_loc,well,sample_id,name,volume,composition,recipe,order_mixing
10,D6,42,bsa_peg_ProArgGlu_x020404_variation_001,150,"{'BSA': 46.68, 'PEG': 226.0, 'KP_KCl': 100.0, 'Proline': 2.0, 'Arginine': 4.0, 'Glutamic_acid': 4.0, 'water': 0}","{'BSA': 13.976047904191617, 'PEG': 56.5, 'KP_KCl': 15.0, 'Proline': 0.3, 'Arginine': 0.6, 'Glutamic_acid': 9.090909090909092, 'water': 54.5330430048993}","['water', 'KP_KCl', 'Proline', 'Arginine', 'Glutamic_acid', 'BSA', 'PEG']"
10,D7,43,bsa_peg_ProArgGlu_x020404_variation_002,150,"{'BSA': 46.68, 'PEG': 226.0, 'KP_KCl': 100.0, 'Proline': 4.0, 'Arginine': 8.0, 'Glutamic_acid': 8.0, 'water': 0}","{'BSA': 13.976047904191617, 'PEG': 56.5, 'KP_KCl': 15.0, 'Proline': 0.6, 'Arginine': 1.2, 'Glutamic_acid': 18.181818181818183, 'water': 44.5421339139902}","['water', 'KP_KCl', 'Proline', 'Arginine', 'Glutamic_acid', 'BSA', 'PEG']"
10,D8,44,bsa_peg_ProArgGlu_x020404_variation_003,150,"{'BSA': 46.68, 'PEG': 226.0, 'KP_KCl': 100.0, 'Proline': 6.0, 'Arginine': 12.0, 'Glutamic_acid': 12.0, 'water': 0}","{'BSA': 13.976047904191617, 'PEG': 56.5, 'KP_KCl': 15.0, 'Proline': 0.9, 'Arginine': 1.8, 'Glutamic_acid': 27.272727272727273, 'water': 34.5512248230811}","['water', 'KP_KCl', 'Proline', 'Arginine', 'Glutamic_acid', 'BSA', 'PEG']"
10,D9,45,bsa_peg_ProArgGlu_x020404_variation_004,150,"{'BSA': 46.68, 'PEG': 226.0, 'KP_KCl': 100.0, 'Proline': 10.0, 'Arginine': 20.0, 'Glutamic_acid': 20.0, 'water': 0}","{'BSA': 13.976047904191617, 'PEG': 56.5, 'KP_KCl': 15.0, 'Proline': 1.5, 'Arginine': 3.0, 'Glutamic_acid': 45.45454545454545, 'water': 14.56940664126293}","['water', 'KP_KCl', 'Proline', 'Arginine', 'Glutamic_acid', 'BSA', 'PEG']"
10,D10,46,bsa_peg_ProArgGlu_x020602_variation_000,150,"{'BSA': 46.68, 'PEG': 226.0, 'KP_KCl': 100.0, 'Proline': 0.0, 'Arginine': 0.0, 'Glutamic_acid': 0.0, 'water': 0}","{'BSA': 13.976047904191617, 'PEG': 56.5, 'KP_KCl': 15.0, 'Proline': 0.0, 'Arginine': 0.0, 'Glutamic_acid': 0.0, 'water': 64.52395209580838}","['water', 'KP_KCl', 'Proline', 'Arginine', 'Glutamic_acid', 'BSA', 'PEG']"
10,D11,47,bsa_peg_ProArgGlu_x020602_variation_001,150,"{'BSA': 46.68, 'PEG': 226.0, 'KP_KCl': 100.0, 'Proline': 2.0, 'Arginine': 6.0, 'Glutamic_acid': 2.0, 'water': 0}","{'BSA': 13.976047904191617, 'PEG': 56.5, 'KP_KCl': 15.0, 'Proline': 0.3, 'Arginine': 0.9, 'Glutamic_acid': 4.545454545454546, 'water': 58.77849755035383}","['water', 'KP_KCl', 'Proline', 'Arginine', 'Glutamic_acid', 'BSA', 'PEG']"
10,D12,48,bsa_peg_ProArgGlu_x020602_variation_002,150,"{'BSA': 46.68, 'PEG': 226.0, 'KP_KCl': 100.0, 'Proline': 4.0, 'Arginine': 12.0, 'Glutamic_acid': 4.0, 'water': 0}","{'BSA': 13.976047904191617, 'PEG': 56.5, 'KP_KCl': 15.0, 'Proline': 0.6, 'Arginine': 1.8, 'Glutamic_acid': 9.090909090909092, 'water': 53.0330430048993}","['water', 'KP_KCl', 'Proline', 'Arginine', 'Glutamic_acid', 'BSA', 'PEG']"
10,E1,49,bsa_peg_ProArgGlu_x020602_variation_003,150,"{'BSA': 46.68, 'PEG': 226.0, 'KP_KCl': 100.0, 'Proline': 6.0, 'Arginine': 18.0, 'Glutamic_acid': 6.0, 'water': 0}","{'BSA': 13.976047904191617, 'PEG': 56.5, 'KP_KCl': 15.0, 'Proline': 0.9, 'Arginine': 2.7, 'Glutamic_acid': 13.636363636363637, 'water': 47.287588459444734}","['water', 'KP_KCl', 'Proline', 'Arginine', 'Glutamic_acid', 'BSA', 'PEG']"
10,E2,50,bsa_peg_ProArgGlu_x020602_variation_004,150,"{'BSA': 46.68, 'PEG': 226.0, 'KP_KCl': 100.0, 'Proline': 10.0, 'Arginine': 30.0, 'Glutamic_acid': 10.0, 'water': 0}","{'BSA': 13.976047904191617, 'PEG': 56.5, 'KP_KCl': 15.0, 'Proline': 1.5, 'Arginine': 4.5, 'Glutamic_acid': 22.727272727272727, 'water': 35.79667936853565}","['water', 'KP_KCl', 'Proline', 'Arginine', 'Glutamic_acid', 'BSA', 'PEG']"
10,E3,51,bsa_peg_ProArgGlu_x020800_variation_000,150,"{'BSA': 46.68, 'PEG': 226.0, 'KP_KCl': 100.0, 'Proline': 0.0, 'Arginine': 0.0, 'Glutamic_acid': 0.0, 'water': 0}","{'BSA': 13.976047904191617, 'PEG': 56.5, 'KP_KCl': 15.0, 'Proline': 0.0, 'Arginine': 0.0, 'Glutamic_acid': 0.0, 'water': 64.52395209580838}","['water', 'KP_KCl', 'Proline', 'Arginine', 'Glutamic_acid', 'BSA', 'PEG']"
